block_height,total_supply,burn_balance,circulating_supply,date
60482038,954435126.6274757,10773289.834457887,943661836.7930179,2023-01-12 15:09:33.745709
60438873,954335499.3847892,10744695.579752143,943590803.8050371,2023-01-11 15:09:33.745709
60395707,954235797.9163774,10697300.267718809,943538497.6486586,2023-01-10 15:09:33.745709
60352574,954136282.56708,10703558.174954973,943432724.392125,2023-01-09 15:09:33.745709
60309411,954036669.5508837,10683442.220327236,943353227.3305564,2023-01-08 15:09:33.745709
60266261,953936934.8453901,10637614.780115841,943299320.0652742,2023-01-07 15:09:33.745709
60223110,953837334.8286178,10608360.074373389,943228974.7542444,2023-01-06 15:09:33.745709
60179959,953737669.0769607,10587797.920777079,943149871.1561836,2023-01-05 15:09:33.745709
60136794,953638007.1153724,10539775.651828958,943098231.4635434,2023-01-04 15:09:33.745709
60093663,953538511.2424694,10500874.9386829,943037636.3037865,2023-01-03 15:09:33.745709
60050529,953438919.1353567,10468211.709549384,942970707.4258072,2023-01-02 15:09:33.745709
60007360,953339214.8041527,10451441.077474762,942887773.726678,2023-01-01 15:09:33.745709
59964194,953239441.9144429,10424867.187264647,942814574.7271782,2022-12-31 15:09:33.745709
59921055,953139794.6857015,10492317.635149928,942647477.0505515,2022-12-30 15:09:33.745709
59877925,953040166.4305127,10635291.568959262,942404874.8615534,2022-12-29 15:09:33.745709
59834794,952940737.5815722,10589123.59466169,942351613.9869105,2022-12-28 15:09:33.745709
59791664,952841138.8844885,10560793.8427289,942280345.0417596,2022-12-27 15:09:33.745709
59748531,952741553.6356852,10527544.477226723,942214009.1584585,2022-12-26 15:09:33.745709
59705412,952641961.5772318,10496907.879274368,942145053.6979574,2022-12-25 15:09:33.745709
59662278,952542259.2690572,10451851.50753911,942090407.761518,2022-12-24 15:09:33.745709
59619109,952442575.3267187,10418809.166815342,942023766.1599033,2022-12-23 15:09:33.745709
59575944,952342914.6429335,10405620.685765019,941937293.9571685,2022-12-22 15:09:33.745709
59532792,952243323.2083826,10354809.63884695,941888513.5695356,2022-12-21 15:09:33.745709
59489627,952143590.4852762,10304457.368574366,941839133.1167018,2022-12-20 15:09:33.745709
59446548,952044259.9765555,10286648.894410921,941757611.0821445,2022-12-19 15:09:33.745709
59403417,951944667.8816141,10239545.766293658,941705122.1153204,2022-12-18 15:09:33.745709
59360265,951845000.35812,10200280.329692483,941644720.0284275,2022-12-17 15:09:33.745709
59317101,951745442.8804967,10149899.988888886,941595542.8916079,2022-12-16 15:09:33.745709
59273963,951645775.2030823,10103027.951874983,941542747.2512074,2022-12-15 15:09:33.745709
59230796,951546167.0668746,10066083.144825755,941480083.9220489,2022-12-14 15:09:33.745709
59187662,951446532.9490923,10026867.23349188,941419665.7156004,2022-12-13 15:09:33.745709
59144510,951346965.3040824,9985653.033013154,941361312.2710693,2022-12-12 15:09:33.745709
59101360,951247274.2193378,9943003.887553908,941304270.3317839,2022-12-11 15:09:33.745709
59058351,951147897.2517328,9922467.741302509,941225429.5104303,2022-12-10 15:09:33.745709
59015253,951048328.5558951,9869865.489118261,941178463.0667769,2022-12-09 15:09:33.745709
58972102,950948624.9558214,9840728.131750228,941107896.8240712,2022-12-08 15:09:33.745709
58928997,950849241.5802231,9785256.849592911,941063984.7306302,2022-12-07 15:09:33.745709
58885862,950749588.4241381,9791658.972736252,940957929.4514018,2022-12-06 15:09:33.745709
58842742,950650059.7303236,9740352.399712943,940909707.3306106,2022-12-05 15:09:33.745709
58799591,950550442.7468283,9700761.960123064,940849680.7867053,2022-12-04 15:09:33.745709
58756424,950450795.6386007,9659080.928826632,940791714.709774,2022-12-03 15:09:33.745709
58713274,950351365.4604733,9614815.736217098,940736549.7242562,2022-12-02 15:09:33.745709
58670237,950252049.8538892,9697069.656669436,940554980.1972198,2022-12-01 15:09:33.745709
58627105,950152615.174029,9777738.500040988,940374876.673988,2022-11-30 15:09:33.745709
58583949,950053317.5250782,9853312.133349871,940200005.3917283,2022-11-29 15:09:33.745709
58540832,949953882.4048238,9840244.35957157,940113638.0452522,2022-11-28 15:09:33.745709
58497695,949854221.1387743,9813886.446029816,940040334.6927445,2022-11-27 15:09:33.745709
58454530,949754485.3503281,9771582.286762686,939982903.0635654,2022-11-26 15:09:33.745709
58411377,949654832.1681474,9728772.336350506,939926059.8317969,2022-11-25 15:09:33.745709
58368213,949555165.2415481,9677534.079756618,939877631.1617914,2022-11-24 15:09:33.745709
58325050,949455581.6978737,9643712.474917963,939811869.2229557,2022-11-23 15:09:33.745709
58281884,949355915.6269828,9591170.61548295,939764745.0114999,2022-11-22 15:09:33.745709
58238752,949256394.8025503,9547028.20397363,939709366.5985767,2022-11-21 15:09:33.745709
58195619,949156847.6214229,9519260.577287188,939637587.0441357,2022-11-20 15:09:33.745709
58152453,949057169.8329792,9482390.665534908,939574779.1674443,2022-11-19 15:09:33.745709
58109319,948957631.6302251,9437788.806712931,939519842.8235121,2022-11-18 15:09:33.745709
58066230,948858075.17359,9409385.180454705,939448689.9931352,2022-11-17 15:09:33.745709
58023062,948758459.2040648,9358789.638829397,939399669.5652355,2022-11-16 15:09:33.745709
57979900,948658835.7379247,9324919.700148206,939333916.0377765,2022-11-15 15:09:33.745709
57936737,948559319.8297071,9289012.866485305,939270306.9632218,2022-11-14 15:09:33.745709
57893556,948459756.3082101,9438328.472280312,939021427.8359299,2022-11-13 15:09:33.745709
57850395,948360143.1223086,9394457.955010083,938965685.1672986,2022-11-12 15:09:33.745709
57807262,948260740.8502176,9380004.323389713,938880736.5268278,2022-11-11 15:09:33.745709
57764132,948161293.6016968,9350182.554515803,938811111.047181,2022-11-10 15:09:33.745709
57720976,948062425.7567854,9305731.75052085,938756694.0062646,2022-11-09 15:09:33.745709
57677859,947963736.2632812,9257337.22433159,938706399.0389496,2022-11-08 15:09:33.745709
57634728,947864298.9038205,9204868.297471788,938659430.6063488,2022-11-07 15:09:33.745709
57591562,947764861.2911319,9180090.252247369,938584771.0388845,2022-11-06 15:09:33.745709
57548396,947665213.5337062,9150415.839860702,938514797.6938455,2022-11-05 15:09:33.745709
57505229,947565809.9588615,9107738.462575683,938458071.4962858,2022-11-04 15:09:33.745709
57462049,947466092.0633847,9068250.224621668,938397841.838763,2022-11-03 15:09:33.745709
57418884,947366531.113986,9036594.56364793,938329936.550338,2022-11-02 15:09:33.745709
57375747,947267003.5549649,9015671.937818078,938251331.6171468,2022-11-01 15:09:33.745709
57332615,947167651.029957,9058740.153689636,938108910.8762674,2022-10-31 15:09:33.745709
57289449,947067981.3875675,9048101.033318385,938019880.3542491,2022-10-30 15:09:33.745709
57246328,946968437.0897415,9133109.852820108,937835327.2369213,2022-10-29 15:09:33.745709
57203203,946868971.4055521,9092029.84144325,937776941.5641088,2022-10-28 15:09:33.745709
57160036,946769282.7848821,9072624.39202179,937696658.3928603,2022-10-27 15:09:33.745709
57116876,946669700.2159383,9058673.605316943,937611026.6106213,2022-10-26 15:09:33.745709
57073713,946570129.9515945,9012908.493120277,937557221.4584742,2022-10-25 15:09:33.745709
57030535,946470434.6620696,8971826.179447262,937498608.4826223,2022-10-24 15:09:33.745709
56987372,946370740.3872656,8933643.025949534,937437097.3613161,2022-10-23 15:09:33.745709
56944224,946271151.8962992,8880822.721326169,937390329.1749731,2022-10-22 15:09:33.745709
56901077,946171571.2257986,8836838.786325045,937334732.4394735,2022-10-21 15:09:33.745709
56857913,946071883.936326,8807907.2118785,937263976.7244475,2022-10-20 15:09:33.745709
56814771,945972306.2470882,8757034.833113981,937215271.4139742,2022-10-19 15:09:33.745709
56771632,945872854.1645736,8760854.636412676,937111999.5281609,2022-10-18 15:09:33.745709
56728518,945773535.70279,8762659.498290204,937010876.2044998,2022-10-17 15:09:33.745709
56685365,945673903.8192567,8960300.179630892,936713603.6396258,2022-10-16 15:09:33.745709
56642204,945574154.811206,8922703.728840148,936651451.0823659,2022-10-15 15:09:33.745709
56599045,945474434.3669016,8870798.593105147,936603635.7737964,2022-10-14 15:09:33.745709
56555932,945374896.9460826,8829508.446395451,936545388.4996872,2022-10-13 15:09:33.745709
56512835,945275475.8913454,8797653.432789521,936477822.4585558,2022-10-12 15:09:33.745709
56469741,945175952.6509893,8758352.87855362,936417599.7724357,2022-10-11 15:09:33.745709
56426591,945078354.3521461,8718588.751195338,936359765.6009508,2022-10-10 15:09:33.745709
56383494,944978837.0089025,8675825.974235995,936303011.0346665,2022-10-09 15:09:33.745709
56340391,944879292.7721958,8631284.472801032,936248008.2993947,2022-10-08 15:09:33.745709
56297287,944779886.6233412,8587707.41366744,936192179.2096738,2022-10-07 15:09:33.745709
56254124,944680196.023502,8562345.705234032,936117850.318268,2022-10-06 15:09:33.745709
56210946,944580445.2743248,8527331.623877386,936053113.6504474,2022-10-05 15:09:33.745709
56167781,944480822.9472233,8501154.097467946,935979668.8497554,2022-10-04 15:09:33.745709
56124648,944381285.9484335,8486954.989488361,935894330.9589452,2022-10-03 15:09:33.745709
56081520,944281917.3101248,8457159.41399392,935824757.8961308,2022-10-02 15:09:33.745709
56038404,944182323.9531403,8420207.757321894,935762116.1958184,2022-10-01 15:09:33.745709
55995247,944082848.3947235,8402982.130312664,935679866.2644109,2022-09-30 15:09:33.745709
55952124,943983228.8750072,8423909.068361172,935559319.806646,2022-09-29 15:09:33.745709
55908968,943885584.3506929,8499816.63426514,935385767.7164277,2022-09-28 15:09:33.745709
55865805,943786338.1782398,8461798.186682574,935324539.9915572,2022-09-27 15:09:33.745709
55822627,943686730.2889135,8425611.80373333,935261118.4851801,2022-09-26 15:09:33.745709
55779447,943587035.0828432,8391130.789179582,935195904.2936636,2022-09-25 15:09:33.745709
55736287,943487337.3056083,8358271.22221458,935129066.0833937,2022-09-24 15:09:33.745709
55693153,943387738.0883062,8611989.213443121,934775748.874863,2022-09-23 15:09:33.745709
55650021,943288255.5351927,8569765.829858609,934718489.7053341,2022-09-22 15:09:33.745709
55606894,943188850.8895315,8540630.855903184,934648220.0336283,2022-09-21 15:09:33.745709
55563747,943089311.156751,8493232.565961165,934596078.5907899,2022-09-20 15:09:33.745709
55520586,942989814.019088,8447635.347656658,934542178.6714314,2022-09-19 15:09:33.745709
55477431,942890296.4550042,8414496.767166588,934475799.6878376,2022-09-18 15:09:33.745709
55434267,942790569.3947707,8381350.736426194,934409218.6583445,2022-09-17 15:09:33.745709
55391106,942690900.1283088,8329761.5102056945,934361138.618103,2022-09-16 15:09:33.745709
55347925,942591249.6058496,8292154.36371603,934299095.2421336,2022-09-15 15:09:33.745709
55304770,942492089.758444,8241932.630593064,934250157.1278509,2022-09-14 15:09:33.745709
55261700,942392706.6580316,8207241.58825447,934185465.0697771,2022-09-13 15:09:33.745709
55218553,942293227.8271111,8159074.09530666,934134153.7318045,2022-09-12 15:09:33.745709
55175392,942193622.1649575,8133827.318128379,934059794.8468292,2022-09-11 15:09:33.745709
55132239,942094002.6128362,8093676.893636977,934000325.7191993,2022-09-10 15:09:33.745709
55089062,941994556.7575524,8074934.797616579,933919621.9599358,2022-09-09 15:09:33.745709
55045897,941895259.2926193,8047217.908657899,933848041.3839614,2022-09-08 15:09:33.745709
55002716,941796164.2364101,8002606.177496717,933793558.0589135,2022-09-07 15:09:33.745709
54959538,941696731.6503385,7955447.870320488,933741283.7800181,2022-09-06 15:09:33.745709
54916393,941597148.6988252,8155115.200004533,933442033.4988207,2022-09-05 15:09:33.745709
54873279,941497622.6911458,8135330.049593728,933362292.6415521,2022-09-04 15:09:33.745709
54830208,941398121.680863,8121980.883234402,933276140.7976286,2022-09-03 15:09:33.745709
54787074,941298575.2615322,8116078.826643495,933182496.4348887,2022-09-02 15:09:33.745709
54743910,941198936.8771955,8094271.64550071,933104665.2316948,2022-09-01 15:09:33.745709
54700752,941099484.2500701,8051024.420913054,933048459.829157,2022-08-31 15:09:33.745709
54657848,941000725.6307017,8035041.133883106,932965684.4968185,2022-08-30 15:09:33.745709
54614807,940901424.884536,8134977.991926541,932766446.8926095,2022-08-29 15:09:33.745709
54571624,940801787.7629329,8099376.888460908,932702410.874472,2022-08-28 15:09:33.745709
54528444,940702195.85488,8061199.267372316,932640996.5875076,2022-08-27 15:09:33.745709
54485281,940602752.5977623,8118838.2261166675,932483914.3716457,2022-08-26 15:09:33.745709
54442137,940503307.4374188,8113669.2308787955,932389638.20654,2022-08-25 15:09:33.745709
54399048,940403953.612588,8090107.979090252,932313845.6334978,2022-08-24 15:09:33.745709
54355897,940304491.5954444,8049853.109605341,932254638.4858391,2022-08-23 15:09:33.745709
54312734,940205250.1069256,8007943.36393886,932197306.7429868,2022-08-22 15:09:33.745709
54269612,940105914.8993462,8060831.9126352,932045082.986711,2022-08-21 15:09:33.745709
54226433,940006403.8037554,8008665.491071979,931997738.3126835,2022-08-20 15:09:33.745709
54183265,939907265.5500361,7984026.190807478,931923239.3592286,2022-08-19 15:09:33.745709
54140085,939807731.348232,7944380.471839556,931863350.8763925,2022-08-18 15:09:33.745709
54096907,939708078.5181834,7905166.705355277,931802911.8128281,2022-08-17 15:09:33.745709
54053740,939608811.5715142,7857633.682012711,931751177.8895016,2022-08-16 15:09:33.745709
54010570,939509250.0448267,7818717.130927374,931690532.9138994,2022-08-15 15:09:33.745709
53967438,939409750.5843102,7782525.34749125,931627225.2368189,2022-08-14 15:09:33.745709
53924298,939310092.8601938,7744617.774720565,931565475.0854733,2022-08-13 15:09:33.745709
53881184,939212581.9881514,7717051.715794963,931495530.2723565,2022-08-12 15:09:33.745709
53838025,939113117.3006483,7692036.941060062,931421080.3595883,2022-08-11 15:09:33.745709
53794847,939013468.8582865,7658909.922324751,931354558.9359617,2022-08-10 15:09:33.745709
53751988,938914561.2763783,7619660.714008853,931294900.5623695,2022-08-09 15:09:33.745709
53709198,938816088.0636196,7582707.915135364,931233380.1484842,2022-08-08 15:09:33.745709
53666022,938716416.9092529,7540021.067928311,931176395.8413246,2022-08-07 15:09:33.745709
53622859,938616827.9229685,7500329.244931222,931116498.6780373,2022-08-06 15:09:33.745709
53579697,938517270.9919798,7457105.118886768,931060165.8730931,2022-08-05 15:09:33.745709
53536571,938417917.6930993,7436680.805075234,930981236.888024,2022-08-04 15:09:33.745709
53493409,938318454.8526069,7392765.3202904835,930925689.5323164,2022-08-03 15:09:33.745709
53450281,938219032.9283385,7487437.199320062,930731595.7290184,2022-08-02 15:09:33.745709
53407122,938119684.6892028,7503960.206736444,930615724.4824663,2022-08-01 15:09:33.745709
53363970,938020489.5991143,7475020.746604673,930545468.8525096,2022-07-31 15:09:33.745709
53320816,937920985.6958044,7443574.636232236,930477411.0595721,2022-07-30 15:09:33.745709
53277637,937821487.2693968,8179997.007658408,929641490.2617384,2022-07-29 15:09:33.745709
53234470,937721933.5854512,8149057.568522479,929572876.0169288,2022-07-28 15:09:33.745709
53191307,937622393.4522626,8130450.97287368,929491942.479389,2022-07-27 15:09:33.745709
53148149,937522891.669811,8078556.310004336,929444335.3598067,2022-07-26 15:09:33.745709
53105014,937423480.718634,8049758.340489707,929373722.3781443,2022-07-25 15:09:33.745709
53061850,937324050.5252335,8033337.46899246,929290713.056241,2022-07-24 15:09:33.745709
53018717,937224475.3346641,7983458.856080982,929241016.4785831,2022-07-23 15:09:33.745709
52975556,937124908.9135377,7936238.781831565,929188670.1317061,2022-07-22 15:09:33.745709
52932380,937025417.331228,7906935.351575258,929118481.9796528,2022-07-21 15:09:33.745709
52889220,936926110.0941894,7888783.6018786635,929037326.4923108,2022-07-20 15:09:33.745709
52846042,936826566.8421035,7857408.551165961,928969158.2909375,2022-07-19 15:09:33.745709
52802866,936726972.8059053,7818824.6073821355,928908148.1985232,2022-07-18 15:09:33.745709
52759702,936627325.069414,7790573.553284718,928836751.5161293,2022-07-17 15:09:33.745709
